entry,exit,days,size,hlx,vs_osb,tag
2012-08-01,2012-08-15,11,1.5,0.0607,0.0016,FULL
2013-10-11,2013-12-11,43,1.0,-0.1131,-0.1091,OSB_ONLY
2015-04-16,2015-05-04,13,1.0,-0.0310,-0.0108,FULL
2015-10-14,2015-10-20,5,1.5,0.1030,0.0976,FULL
2015-10-30,2015-11-05,5,1.5,0.1036,0.0732,FULL
2016-07-18,2016-07-22,5,1.5,0.1611,0.1978,OSB_ONLY
2017-01-09,2017-01-24,11,1.0,-0.1715,-0.1478,MIX
2018-03-16,2018-04-24,27,1.0,0.2328,0.0372,FULL
2021-01-04,2021-01-12,7,1.5,0.1958,-0.0630,FULL
2021-02-26,2021-03-04,5,1.5,0.0923,0.0458,FULL
2021-04-30,2021-05-17,12,1.5,0.2165,-0.0347,MIX
2021-07-09,2021-07-15,5,1.0,-0.0998,-0.0110,FULL
2021-08-25,2021-10-05,29,1.0,0.1503,0.0138,FULL
2021-12-09,2021-12-17,7,1.0,0.0061,0.0729,OSB_ONLY
2021-12-29,2022-02-01,24,1.5,0.2118,-0.0718,OSB_ONLY
2022-06-23,2022-07-05,8,0.5,-0.1607,-0.1070,MIX
2022-07-19,2022-07-26,6,1.5,0.2147,0.1224,FULL
2025-07-14,2025-07-21,6,1.0,-0.0216,0.0578,UNK
2025-07-28,2025-09-03,27,1.0,0.0490,0.0630,UNK
2025-09-09,2025-09-18,8,1.5,0.0743,0.0321,UNK
2026-01-15,2026-01-29,10,1.5,0.0933,0.0098,MIX
